name;category;image;rating;no_of_ratings;actual_price;discount_price
i8 Pro Max Touch Screen Bluetooth Smartwatch with Activity Tracker Compatible with All 3G/4G/5G Android & iOS Smartphones...;tv, audio & cameras;https://m.media-amazon.com/images/I/612q8kFrphL._AC_UL320_.jpg;2.9;86;27.49;10.11
i8 Pro Max Touch Screen Bluetooth Smartwatch with Activity Tracker Compatible with All 3G/4G/5G Android & iOS Smartphones...;tv, audio & cameras;https://m.media-amazon.com/images/I/61yzGwnAzbL._AC_UL320_.jpg;2.9;63;32.99;7.03
"IKALL K470 6.26"" HD+ Display Smartphone (Dual Sim, 4G) (4GB RAM, 13MP Rear Camera) (Sky Blue)";tv, audio & cameras;https://m.media-amazon.com/images/I/51y3K7IklOL._AC_UL320_.jpg;2.6;13;98.99;65.44
ikis 2 pcs Portable Mini USB Dragon Fan with 2 Leaf Connect with Laptop, Smartphone, Powerbank, USB Adapter/Hub (Multicolour);tv, audio & cameras;https://m.media-amazon.com/images/I/31mNU3HH+JS._AC_UL320_.jpg;3.6;367;4.57;1.64
Irusu Monster VR Headset with Remote Controller and Conductive Touch Button for VR Supported Smartphones(New Model) (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61-tgcn-R3L._AC_UL320_.jpg;3.4;2531;0.35;21.96
JioFi Jio Phone Next 32 GB ROM, 2 GB RAM, Blue, Smartphone;tv, audio & cameras;https://m.media-amazon.com/images/I/31SPNGm46lL._AC_UL320_.jpg;3.6;361;80.29;49.49
JioFi Next 32 GB, 2 GB RAM, Blue Smartphone;tv, audio & cameras;https://m.media-amazon.com/images/I/61qacJf-mbL._AC_UL320_.jpg;3.6;923;80.29;49.49
Lapster efficient 3-in-1 Cleaning Kit for PC, laptops, LCD TV, Monitor,Camera, Smartphone, Lens, Tablet.(100ML);tv, audio & cameras;https://m.media-amazon.com/images/I/41vAfZzxEhL._AC_UL320_.jpg;4.1;1034;10.99;2.52
LIRAMARK Type c Female to Micro USB Male Adapter, Converter USB C to Micro USB, Charger Connector Works with Smartphones, ...;tv, audio & cameras;https://m.media-amazon.com/images/I/41MvZJAZuZL._AC_UL320_.jpg;4.0;119;1.64;1.14
MI Type B/Micro USB 120cm fast Charging cable|480mbps support|Suitable for all Smartphones,tablet and accessories with typ...;tv, audio & cameras;https://m.media-amazon.com/images/I/61Mx3gDrY7L._AC_UL320_.jpg;4.2;36509;3.29;2.52
Mi Type C 3Amp 100cm Fast Charge Cable Black|USB to Type C|Supports Upto 22.5W Fast Charging|Suitable for All Smartphones,...;tv, audio & cameras;https://m.media-amazon.com/images/I/71xuP3mbiRL._AC_UL320_.jpg;4.3;31112;3.29;2.52
MO-GRIP Tabletop Finger Grip Selfie Holder & Mobile Stand for iPhones & Android Smartphones - Black;tv, audio & cameras;https://m.media-amazon.com/images/I/71eYeg8RDtL._AC_UL320_.jpg;4.1;240;5.49;3.08
Mongoora Universal Air Vent Car Phone Mount Holder - Updated Version for Any Smartphone - Car Cell Phone Holder - Vent Pho...;tv, audio & cameras;https://m.media-amazon.com/images/I/71Li0RlmmmL._AC_UL320_.jpg;4.0;5061;0.15;5.49
Motorola 15 W Single Port Wall Charger For Smartphones, Tablets, Digital Cameras With Usb Type C Cable - Black;tv, audio & cameras;https://m.media-amazon.com/images/I/41d8UAsBDtL._AC_UL320_.jpg;4.0;860;24.19;8.14
NISUN Webcam Cover Slider,Ultra Thin Laptop Camera Cover Slider Blocker Compatible for Notebook Laptop PC & Smartphone Mob...;tv, audio & cameras;https://m.media-amazon.com/images/I/61H+t75D5-L._AC_UL320_.jpg;4.0;144;14.29;3.29
